key,xValue,value
Japan,2015,5808
Jordan,1820,0
Jordan,1830,0
Jordan,1840,0
Jordan,1850,0
Jordan,1860,0
Jordan,1870,0
Jordan,1880,0
Jordan,1890,0
Jordan,1900,0
Jordan,1910,0
Jordan,1920,0
Jordan,1930,0
Jordan,1940,3
Jordan,1950,4919
Jordan,1960,9230
Jordan,1970,25541
Jordan,1980,28928
Jordan,1990,42755
Jordan,2000,53550
Jordan,2010,9327
Jordan,2011,8211
Jordan,2012,7014
Jordan,2013,5949
Jordan,2014,9028
Jordan,2015,7835
Liberia,1820,1
Liberia,1830,8
Liberia,1840,5
Liberia,1850,7
Liberia,1860,43
Liberia,1870,52
Liberia,1880,21
Liberia,1890,9
Liberia,1900,9
Liberia,1910,9
Liberia,1920,9
Liberia,1930,35
Liberia,1940,37
Liberia,1950,289
Liberia,1960,841
Liberia,1970,2391
Liberia,1980,6420
Liberia,1990,13587
Liberia,2000,23316
Liberia,2010,2924
Liberia,2011,3117
Liberia,2012,3451
Liberia,2013,3036
Liberia,2014,3681
Liberia,2015,3580
Mexico,1820,3835
Mexico,1830,7187
Mexico,1840,3069
Mexico,1850,3446
Mexico,1860,1957
Mexico,1870,5133
Mexico,1880,2405
Mexico,1890,734
Mexico,1900,31188
Mexico,1910,185334
Mexico,1920,498945
Mexico,1930,32709
Mexico,1940,56158
Mexico,1950,273847
Mexico,1960,441824
Mexico,1970,621218
Mexico,1980,1009586
Mexico,1990,2757418
Mexico,2000,1704166
Mexico,2010,138717
Mexico,2011,142823
Mexico,2012,145326
Mexico,2013,134198
Mexico,2014,133107
Mexico,2015,157227
Morocco,1820,0
Morocco,1830,4
Morocco,1840,1
Morocco,1850,1
Morocco,1860,1
Morocco,1870,15
Morocco,1880,12
Morocco,1890,9
Morocco,1900,9
Morocco,1910,9
Morocco,1920,9
Morocco,1930,110
Morocco,1940,1463
Morocco,1950,3293
Morocco,1960,2880
Morocco,1970,1967
Morocco,1980,3471
Morocco,1990,15768
Morocco,2000,40844
Morocco,2010,4847
Morocco,2011,4249
Morocco,2012,3534
Morocco,2013,3202
Morocco,2014,3495
Morocco,2015,3569
Netherlands,1820,1105
Netherlands,1830,1377
Netherlands,1840,7624
Netherlands,1850,11122
Netherlands,1860,8387
